1	145
4	132
8	120
11	108
14	96
18	84
21	73
24	62
28	52
31	43
34	35
38	27
41	20
44	14
48	10
51	6
54	3
58	2
61	1
64	2
68	3
71	6
74	10
78	14
81	20
84	27
88	35
91	43
94	52
98	62
101	73
104	84
108	96
111	108
114	120
118	132
121	145
124	158
128	170
131	182
134	194
138	206
141	217
144	228
148	238
151	247
154	255
158	263
161	270
164	276
168	280
171	284
174	287
178	288
181	289
184	288
188	287
191	284
194	280
198	276
201	270
204	263
208	255
211	247
214	238
218	228
221	217
224	206
228	194
231	182
234	170
238	158
241	145
244	132
248	120
251	108
254	96
258	84
261	73
264	62
268	52
271	43
274	35
278	27
281	20
284	14
288	10
291	6
294	3
298	2
301	1
304	2
308	3
311	6
314	10
318	14
321	20
324	27
328	35
331	43
334	52
338	62
341	73
344	84
348	96
351	108
354	120
358	132
361	145
364	158
368	170
371	182
374	194
378	206
381	217
384	228
388	238
391	247
394	255
398	263
401	270
404	276
408	280
411	284
414	287
418	288
421	289
424	288
428	287
431	284
434	280
438	276
441	270
444	263
448	255
451	247
454	238
458	228
461	217
464	206
468	194
471	182
474	170
478	158
